GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProGen,progen.kernel.evolution.operators,StandardCrossover,286,0,22,0,66,0,24,0,13,0
ProGen,progen.kernel.evolution.operators,SelectorSizeIncorrectValueException,0,20,0,0,0,2,0,1,0,1
ProGen,progen.kernel.evolution.operators,Reproduction,21,0,0,0,5,0,2,0,2,0
ProGen,progen.kernel.evolution.operators,OnePointCrossover,140,0,12,0,24,0,9,0,3,0
ProGen,progen.kernel.evolution.operators,TreeMutation,76,0,0,0,17,0,3,0,3,0
ProGen,progen.kernel.evolution.operators,PointMutation,211,0,26,0,39,0,24,0,11,0
ProGen,progen,ProGen,0,104,0,2,0,28,0,4,0,3
ProGen,progen,ProGenException,0,9,0,0,0,4,0,2,0,2
ProGen,progen.output.datacollectors,UnknownDataCollectorException,0,17,0,0,0,2,0,1,0,1
ProGen,progen.output.datacollectors,DataCollector,91,132,12,10,22,29,12,8,4,5
ProGen,progen.experimenter.property.condition,LoopCondition,0,32,0,4,0,8,0,4,0,2
ProGen,progen.experimenter.property.condition,LessEqualThanLoopCondition,0,24,0,4,0,5,0,4,0,2
ProGen,progen.experimenter.property.condition,GratherEqualThanLoopCondition,0,24,0,4,0,5,0,4,0,2
ProGen,progen.output,HistoricalData,126,58,8,4,16,18,11,5,5,5
ProGen,progen.kernel.population,UnknownUserProgramException,0,25,0,0,0,5,0,3,0,3
ProGen,progen.kernel.population,Individual,487,164,44,8,64,40,42,7,16,7
ProGen,progen.kernel.population,Population,123,114,13,3,22,30,11,8,4,7
ProGen,progen.roles.distributed,ClientDistributed,80,0,0,0,21,0,3,0,3,0
ProGen,progen.roles.distributed,DispatcherDistributed,47,8,0,0,19,3,7,1,7,1
ProGen,progen.roles.distributed,ProGenDistributedException,0,46,0,0,0,11,0,6,0,6
ProGen,progen.roles.distributed,DispatcherServer,145,32,2,0,38,11,9,2,8,2
ProGen,progen.roles.distributed,WorkerDistributed,23,3,0,0,10,1,5,1,5,1
ProGen,progen.roles.distributed,DistributedFactory.new Object() {...},3,23,0,0,0,1,0,1,0,1
ProGen,progen.roles.distributed,DistributedFactory,33,79,2,2,8,25,3,6,1,5
ProGen,progen.userprogram,UserProgram,89,0,0,0,18,0,6,0,6,0
ProGen,progen.experimenter,MultipleExperimenter,376,0,38,0,91,0,32,0,13,0
ProGen,progen.experimenter,SimpleExperimenter,42,0,0,0,16,0,7,0,7,0
ProGen,progen.experimenter,OutputFilenameFilter,7,0,0,0,2,0,2,0,2,0
